"","ID","AdmArea","Month","Year","TotalAmount","Suppliers","global_id","average_sum"
"20","362","Центральный административный округ","Ноябрь",2018,1249987014.8,"Supplier:ОАО «МОЭК»
Amount:4.3097430009E8

Supplier:Газпром межрегионгаз Москва
Amount:2.220972709E7

Supplier:Мосводоканал
Amount:1.2505267751E8

Supplier:Ростелеком
Amount:3.365496635E7

Supplier:РСВО
Amount:9812796.72

Supplier:прочие
Amount:2.1765054333E8

Supplier:управляющие компании
Amount:4.1063200371E8

","919119829",1240896844
"21","398","Центральный административный округ","Декабрь",2018,1250072335,"Supplier:ОАО «МОЭК»
Amount:474404063

Supplier:Газпром межрегионгаз Москва
Amount:21331906

Supplier:управляющие компании
Amount:359088335

Supplier:прочие
Amount:218059050

Supplier:Мосводоканал
Amount:135244190

Supplier:Ростелеком
Amount:32239369

Supplier:РСВО
Amount:9705419

","920164354",1240896844
"22","410","Центральный административный округ","Ноябрь",2017,1248661932,"Supplier:ОАО «МОЭК»
Amount:471716242

Supplier:Газпром межрегионгаз Москва
Amount:21307539

Supplier:Мосводоканал
Amount:137027832

Supplier:Ростелеком
Amount:31951002

Supplier:РСВО
Amount:9854130

Supplier:прочие
Amount:217695997

Supplier:управляющие компании
Amount:359109186

","920170766",1083549356
"23","422","Центральный административный округ","Октябрь",2017,1233226017,"Supplier:ОАО «МОЭК»
Amount:460879905

Supplier:Газпром межрегионгаз Москва
Amount:21273301

Supplier:Мосводоканал
Amount:135964175

Supplier:Ростелеком
Amount:31936775

Supplier:РСВО
Amount:9751391

Supplier:прочие
Amount:216745781

Supplier:управляющие компании
Amount:356674685

","920180904",1083549356
"24","434","Центральный административный округ","Август",2017,1205424733,"Supplier:ОАО «МОЭК»
Amount:444597452

Supplier:Газпром межрегионгаз Москва
Amount:21305302

Supplier:Мосводоканал
Amount:126487263

Supplier:Ростелеком
Amount:32050588

Supplier:РСВО
Amount:9815999

Supplier:прочие
Amount:216467105

Supplier:управляющие компании
Amount:354701020

","920181564",1083549356
"25","446","Центральный административный округ","Апрель",2018,1242811612,"Supplier:ОАО «МОЭК»
Amount:427318400

Supplier:Газпром межрегионгаз Москва
Amount:21369511

Supplier:Мосводоканал
Amount:119318542

Supplier:Ростелеком
Amount:34237500

Supplier:РСВО
Amount:10098880

Supplier:прочие
Amount:218142011

Supplier:управляющие компании
Amount:412326764

","920181845",1240896844
"26","458","Центральный административный округ","Декабрь",2017,1258380754,"Supplier:ОАО «МОЭК»
Amount:437728930

Supplier:Газпром межрегионгаз Москва
Amount:22162609

Supplier:Мосводоканал
Amount:125363544

Supplier:Ростелеком
Amount:34232673

Supplier:РСВО
Amount:9758048

Supplier:прочие
Amount:217332441

Supplier:управляющие компании
Amount:41180505

","920181901",1083549356
"27","481","Центральный административный округ","Январь",2019,1282372753,"Supplier:ОАО «МОЭК»
Amount:445753586

Supplier:Газпром межрегионгаз Москва
Amount:22497881

Supplier:Мосводоканал
Amount:124087812

Supplier:Ростелеком
Amount:36452349

Supplier:РСВО
Amount:9881483

Supplier:прочие
Amount:231963358

Supplier:управляющие компании
Amount:411736282

","925621173",1219241088
"28","493","Центральный административный округ","Апрель",2019,1376249632.96,"Supplier:ОАО «МОЭК»
Amount:4.659159403E8

Supplier:Газпром межрегионгаз Москва
Amount:2.247770663E7

Supplier:Мосводоканал
Amount:1.2574350879E8

Supplier:Ростелеком
Amount:3.621785843E7

Supplier:РСВО
Amount:1

Supplier:прочие
Amount:2.9150241336E8

Supplier:управляющие компании
Amount:424181164

","925697446",1219241088
"29","505","Центральный административный округ","Март",2019,1300946634,"Supplier:ОАО «МОЭК»
Amount:460663646

Supplier:Газпром межрегионгаз Москва
Amount:22525292

Supplier:Мосводоканал
Amount:125554621

Supplier:Ростелеком
Amount:36345852

Supplier:РСВО
Amount:9785196

Supplier:прочие
Amount:246487829

Supplier:управляющие компании
Amount:39584195

","925702684",1219241088
"30","518","Центральный административный округ","Май",2019,1320926822,"Supplier:ОАО «МОЭК»
Amount:469741967

Supplier:Газпром межрегионгаз Москва
Amount:22157704

Supplier:Мосводоканал
Amount:129554213

Supplier:Ростелеком
Amount:36114811

Supplier:РСВО
Amount:10141542

Supplier:прочие
Amount:259373473

Supplier:управляющие компании
Amount:393483109

","930605120",1219241088
"31","530","Центральный административный округ","Июль",2019,1294459975,"Supplier:ОАО «МОЭК»
Amount:461898167

Supplier:Газпром межрегионгаз Москва
Amount:22487328

Supplier:Мосводоканал
Amount:122489753

Supplier:Ростелеком
Amount:35981441

Supplier:РСВО
Amount:10023623

Supplier:прочие
Amount:252699096

Supplier:управляющие компании
Amount:388880563

","1006305717",1219241088
"32","542","Центральный административный округ","Июнь",2019,1310177657,"Supplier:ОАО «МОЭК»
Amount:462438253

","1006475393",1219241088
"33","554","Центральный административный округ","Август",2019,1289896855,"Supplier:ОАО «МОЭК»
Amount:463252340

Supplier:Газпром межрегионгаз Москва
Amount:23160169

Supplier:Мосводоканал
Amount:124752228

Supplier:Ростелеком
Amount:36072060

Supplier:РСВО
Amount:10006179

Supplier:управляющие компании
Amount:417865054

Supplier:прочие
Amount:241788821

","1023571758",1219241088
"34","578","Центральный административный округ","Октябрь",2019,1322195308,"Supplier:ОАО «МОЭК»
Amount:497618104

Supplier:Газпром межрегионгаз Москва
Amount:22832796

Supplier:Мосводоканал
Amount:135359286

Supplier:Ростелеком
Amount:36230608

Supplier:РСВО
Amount:9986494

Supplier:прочие
Amount:208686095

Supplier:управляющие компании
Amount:259172944

","1023597034",1219241088
"35","590","Центральный административный округ","Ноябрь",2019,1338087340,"Supplier:ОАО «МОЭК»
Amount:508016823

Supplier:Газпром межрегионгаз Москва
Amount:23003322

Supplier:Мосводоканал
Amount:138992418

Supplier:Ростелеком
Amount:36208213

Supplier:РСВО
Amount:9975654

Supplier:прочие
Amount:234916101

Supplier:управляющие компании
Amount:386974807

","1023598321",1219241088
"36","602","Центральный административный округ","Декабрь",2019,1346013423.63,"Supplier:ОАО «МОЭК»
Amount:5.148744789E8

Supplier:Газпром межрегионгаз Москва
Amount:2.28639069E7

Supplier:Мосводоканал
Amount:1.4090185176E8

Supplier:Ростелеком
Amount:3.602622152E7

Supplier:РСВО
Amount:9888475.53

Supplier:прочие
Amount:2.3605056607E8

Supplier:управляющие компании
Amount:3.8540792295E8

","1146138315",1219241088
"37","614","Центральный административный округ","Январь",2020,1387503641.27,"Supplier:ОАО «МОЭК»
Amount:5.2703960938E8

Supplier:Газпром межрегионгаз Москва
Amount:2.282013644E7

Supplier:Мосводоканал
Amount:1.4311529367E8

Supplier:Ростелеком
Amount:3.831838949E7

Supplier:РСВО
Amount:9852814.56

Supplier:прочие
Amount:2.4413396384E8

Supplier:управляющие компании
Amount:4

","1146138450",1300439017
"38","626","Центральный административный округ","Февраль",2020,1342359782.32,"Supplier:ОАО «МОЭК»
Amount:4.8092155336E8

Supplier:Газпром межрегионгаз Москва
Amount:2.273753614E7

Supplier:Мосводоканал
Amount:1.4391976339E8

Supplier:Ростелеком
Amount:3.820956733E7

Supplier:РСВО
Amount:9787637.63

Supplier:прочие
Amount:2.4352293909E8

Supplier:управляющие компании
Amount:4

","1146138528",1300439017
"39","638","Центральный административный округ","Март",2020,1354303732.14,"Supplier:ОАО «МОЭК»
Amount:4.9424484187E8

Supplier:Газпром межрегионгаз Москва
Amount:2.278724762E7

Supplier:Мосводоканал
Amount:1.4369453999E8

Supplier:Ростелеком
Amount:3.812869816E7

Supplier:РСВО
Amount:9750903.7

Supplier:прочие
Amount:2.438356193E8

Supplier:управляющие компании
Amount:4

","1146138647",1300439017
"40","686","Центральный административный округ","Июль",2020,1361095963.83,"Supplier:ОАО «МОЭК»
Amount:5

Supplier:Газпром межрегионгаз Москва
Amount:2.276457241E7

Supplier:Мосводоканал
Amount:1.4361675669E8

Supplier:Ростелеком
Amount:3.797588956E7

Supplier:РСВО
Amount:1

Supplier:прочие
Amount:2.4233249106E8

Supplier:управляющие компании
Amount:3.9994190854E8

","1146140678",1300439017
"41","698","Центральный административный округ","Август",2020,1348579151,"Supplier:ОАО «МОЭК»
Amount:4.8980359399E8

Supplier:Газпром межрегионгаз Москва
Amount:2.330738137E7

Supplier:Мосводоканал
Amount:1.4405646135E8

Supplier:Ростелеком
Amount:3.787144041E7

Supplier:РСВО
Amount:1

Supplier:прочие
Amount:2.4438334239E8

Supplier:управляющие компании
Amount:3.9898722059E8

","1146146681",1300439017
"42","709","Центральный административный округ","Сентябрь",2020,1339981091.29,"Supplier:ОАО «МОЭК»
Amount:4.8211428821E8

Supplier:Газпром межрегионгаз Москва
Amount:2.324919304E7

Supplier:Мосводоканал
Amount:1.410809409E8

Supplier:Ростелеком
Amount:3.77362225E7

Supplier:РСВО
Amount:1

Supplier:прочие
Amount:2.4826298575E8

Supplier:управляющие компании
Amount:3.9744456323E8

","1146147488",1300439017
"43","721","Центральный административный округ","Октябрь",2020,1351154922.05,"Supplier:ОАО «МОЭК»
Amount:4.8623339042E8

Supplier:Газпром межрегионгаз Москва
Amount:2.322692449E7

Supplier:Мосводоканал
Amount:1.5263138808E8

Supplier:Ростелеком
Amount:3.763009016E7

Supplier:РСВО
Amount:1

Supplier:прочие
Amount:2.4351980081E8

Supplier:управляющие компании
Amount:397863205

","1146147965",1300439017
"44","733","Центральный административный округ","Ноябрь",2020,1360154861.83,"Supplier:ОАО «МОЭК»
Amount:4.9365791476E8

Supplier:Газпром межрегионгаз Москва
Amount:2.315635146E7

Supplier:Мосводоканал
Amount:1.4433761449E8

Supplier:Ростелеком
Amount:3.758863374E7

Supplier:РСВО
Amount:1

Supplier:прочие
Amount:2.5044370759E8

Supplier:управляющие компании
Amount:4

","1146148926",1300439017
"45","745","Центральный административный округ","Декабрь",2020,1390256402.39,"Supplier:ОАО «МОЭК»
Amount:5

Supplier:Газпром межрегионгаз Москва
Amount:2.305093948E7

Supplier:Мосводоканал
Amount:1.4614162265E8

Supplier:Ростелеком
Amount:3.757522248E7

Supplier:РСВО
Amount:9991733.32

Supplier:прочие
Amount:2.6908983083E8

Supplier:управляющие компании
Amount:4

","1146149049",1300439017
"46","805","Центральный административный округ","Май",2021,1399711506.75,"Supplier:ОАО «МОЭК»
Amount:4.9021082068E8

Supplier:Газпром межрегионгаз Москва
Amount:2.31377555E7

Supplier:Мосводоканал
Amount:1.4690686845E8

Supplier:Ростелеком
Amount:3.729958799E7

Supplier:РСВО
Amount:1

Supplier:прочие
Amount:2.6699193918E8

Supplier:управляющие компании
Amount:4.2498848307E8

","1146154286",1393470895
"47","865","Центральный административный округ","Октябрь",2021,1395232174.22,"Supplier:ОАО «МОЭК»
Amount:4.848924642E8

Supplier:Газпром межрегионгаз Москва
Amount:2.377951905E7

Supplier:Мосводоканал
Amount:1.4959335283E8

Supplier:Ростелеком
Amount:3.71069007E7

Supplier:РСВО
Amount:1

Supplier:прочие
Amount:2.6190587631E8

Supplier:управляющие компании
Amount:4.2794432231E8

","1263039996",1393470895
"48","878","Центральный административный округ","Ноябрь",2021,1426668016.12,"Supplier:ОАО «МОЭК»
Amount:5

Supplier:Газпром межрегионгаз Москва
Amount:2.385922423E7

Supplier:Мосводоканал
Amount:1.5120688622E8

Supplier:Ростелеком
Amount:3.707044624E7

Supplier:РСВО
Amount:9976381.66

Supplier:прочие
Amount:2.7008229499E8

Supplier:управляющие компании
Amount:4.3182728867E8

","1266502142",1393470895
"49","890","Центральный административный округ","Декабрь",2021,1432572227.85,"Supplier:ОАО «МОЭК»
Amount:5

Supplier:Газпром межрегионгаз Москва
Amount:2.369681367E7

Supplier:Мосводоканал
Amount:1.517156779E8

Supplier:Ростелеком
Amount:3.698349146E7

Supplier:РСВО
Amount:9955612.22

Supplier:прочие
Amount:2.8034657539E8

Supplier:управляющие компании
Amount:4.2785858603E8

","1508957373",1393470895
