"","ID","AdmArea","Month","Year","TotalAmount","Suppliers","global_id"
"1","1","Центральный административный округ","Апрель","2016","1033089057","Supplier:ОАО «МОЭК»
Amount:3.547077304E8

Supplier:Газпром межрегионгаз Москва
Amount:1.895774299E7

Supplier:Мосводоканал
Amount:1

Supplier:управляющие компании
Amount:3.262499188E8

Supplier:Ростелеком
Amount:3.124191506E7

Supplier:РСВО
Amount:8403563.2

Supplier:прочие
Amount:1.871844306E8

","171671233"
"2","13","Центральный административный округ","Май","2016","1046211200","Supplier:ОАО «МОЭК»
Amount:360724814

Supplier:Газпром межрегионгаз Москва
Amount:19218943

Supplier:Мосводоканал
Amount:108936326

Supplier:управляющие компании
Amount:327835177

Supplier:Ростелеком
Amount:31327001

Supplier:РСВО
Amount:8473358

Supplier:прочие
Amount:189695581

","171671245"
"3","25","Центральный административный округ","Июнь","2016","1035468984","Supplier:ОАО «МОЭК»
Amount:354354753

Supplier:Газпром межрегионгаз Москва
Amount:19157105

Supplier:Мосводоканал
Amount:107730602

Supplier:управляющие компании
Amount:325142893

Supplier:Ростелеком
Amount:31415891

Supplier:РСВО
Amount:8364780

Supplier:прочие
Amount:189302960

","171671257"
"4","37","Центральный административный округ","Июль","2016","1","Supplier:ОАО «МОЭК»
Amount:3.5225817823E8

Supplier:Газпром межрегионгаз Москва
Amount:1.905217896E7

Supplier:Мосводоканал
Amount:1

Supplier:управляющие компании
Amount:4.9621210299E8

Supplier:Ростелеком
Amount:3.12503629E7

Supplier:РСВО
Amount:8318287.47

Supplier:прочие
Amount:1.544101799E7

","278939752"
"5","49","Центральный административный округ","Август","2016","1029563915","Supplier:ОАО «МОЭК»
Amount:3.485051833E8

Supplier:Газпром межрегионгаз Москва
Amount:1.882323504E7

Supplier:Мосводоканал
Amount:1

Supplier:управляющие компании
Amount:5

Supplier:Ростелеком
Amount:3

Supplier:РСВО
Amount:8016069.9

Supplier:прочие
Amount:1.309466906E7

","278939764"
"6","61","Центральный административный округ","Сентябрь","2016","1042438615","Supplier:ОАО «МОЭК»
Amount:3.5107642476E8

Supplier:Газпром межрегионгаз Москва
Amount:1.912694336E7

Supplier:Мосводоканал
Amount:1

Supplier:управляющие компании
Amount:2

Supplier:Ростелеком
Amount:3

Supplier:РСВО
Amount:8081575.73

Supplier:прочие
Amount:3.2513493623E8

","282191445"
"7","73","Центральный административный округ","Октябрь","2016","1065523860","Supplier:ОАО «МОЭК»
Amount:3.6561924814E8

Supplier:Газпром межрегионгаз Москва
Amount:1.908807964E7

Supplier:Мосводоканал
Amount:1.1267409636E8

Supplier:управляющие компании
Amount:3.401180483E8

Supplier:Ростелеком
Amount:3

Supplier:РСВО
Amount:8041555

Supplier:прочие
Amount:1.8960328667E8

","282192211"
"8","85","Центральный административный округ","Ноябрь","2016","1072033883","Supplier:ОАО «МОЭК»
Amount:3.7440364993E8

Supplier:Газпром межрегионгаз Москва
Amount:1.907128351E7

Supplier:Мосводоканал
Amount:1.1070528976E8

Supplier:управляющие компании
Amount:3.4013120837E8

Supplier:Ростелеком
Amount:3

Supplier:РСВО
Amount:8011322.41

Supplier:прочие
Amount:1.8931975334E8

","282196211"
"9","97","Центральный административный округ","Декабрь","2016","1083268627","Supplier:ОАО «МОЭК»
Amount:379412594

Supplier:Мосводоканал
Amount:112681286

Supplier:Газпром межрегионгаз Москва
Amount:19066742

Supplier:Ростелеком
Amount:30331133

Supplier:РСВО
Amount:8028920

Supplier:управляющие компании
Amount:346006407

Supplier:прочие
Amount:187741544

","284597913"
"10","109","Центральный административный округ","Январь","2017","1.1039155455E9","Supplier:ОАО «МОЭК»
Amount:3.991370292E8

Supplier:Газпром межрегионгаз Москва
Amount:1.91115255E7

Supplier:Мосводоканал
Amount:1

Supplier:Ростелеком
Amount:3.24115967E7

Supplier:РСВО
Amount:7971411.9

Supplier:управляющие компании
Amount:3.465947939E8

Supplier:прочие
Amount:1.888855503E8

","612938960"
